Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
110,train,1.1684,0.7416,0.4729,0.4736,0.4731
110,val,0.7635,0.9690,0.9707,0.9690,0.9689
Evaluation Metrics:
Accuracy: 0.9734, Precision: 0.9741, Recall: 0.9734, F1 Score: 0.9734

Evaluation on Test Set:
Evaluation Metrics:
Accuracy: 0.8300, Precision: 0.8842, Recall: 0.8300, F1 Score: 0.8222
Model Summary:
Total params: 71671016
Trainable params: 71671016
