Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
78,train,1.1403,0.7484,0.5609,0.5608,0.5607
78,val,0.7517,0.9616,0.9619,0.9616,0.9615
Evaluation Metrics:
Accuracy: 0.9586, Precision: 0.9608, Recall: 0.9586, F1 Score: 0.9587

Evaluation on Test Set:
Evaluation Metrics:
Accuracy: 0.9300, Precision: 0.9490, Recall: 0.9300, F1 Score: 0.9299
Model Summary:
Total params: 45868216
Trainable params: 45868216
